Month,value
Aug-22,9080
Jul-22,8750
Jun-22,9127
May-22,9107
Apr-22,8754
Mar-22,8856
Feb-22,8598
Jan-22,7982
Dec-21,8879
Nov-21,9021
Oct-21,9027
Sep-21,8932
Aug-21,9182
Jul-21,9297
Jun-21,9362
May-21,9081
Apr-21,8839
Mar-21,8553
Feb-21,7824
Jan-21,7723
Dec-20,7855
Nov-20,8001
Oct-20,8316
Sep-20,8541
Aug-20,8524
Jul-20,8460
Jun-20,8292
May-20,7198
Apr-20,5866
Mar-20,7779
Feb-20,9050
Jan-20,8724
Dec-19,8971
Nov-19,9209
Oct-19,9308
Sep-19,9198
Aug-19,9834
Jul-19,9533
Jun-19,9703
May-19,9497
Apr-19,9411
Mar-19,9184
Feb-19,9072
Jan-19,8778
Dec-18,9179
Nov-18,9290
Oct-18,9294
Sep-18,9153
Aug-18,9778
Jul-18,9640
Jun-18,9797
May-18,9515
Apr-18,9206
Mar-18,9465
Feb-18,8796
Jan-18,8788
Dec-17,9247
Nov-17,9110
Oct-17,9357
Sep-17,9378
Aug-17,9752
Jul-17,9595
Jun-17,9772
May-17,9550
Apr-17,9295
Mar-17,9325
Feb-17,9008
Jan-17,8507
Dec-16,9283
Nov-16,9233
Oct-16,9093
Sep-16,9484
Aug-16,9687
Jul-16,9578
Jun-16,9608
May-16,9417
Apr-16,9176
Mar-16,9373
Feb-16,9221
Jan-16,8653
Dec-15,9148
Nov-15,9112
Oct-15,9245
Sep-15,9289
Aug-15,9460
Jul-15,9470
Jun-15,9417
May-15,9262
Apr-15,9189
Mar-15,9057
Feb-15,8829
Jan-15,8639
Dec-14,8941
Nov-14,8921
Oct-14,9148
Sep-14,8822
Aug-14,9311
Jul-14,9249
Jun-14,9039
May-14,9023
Apr-14,8955
Mar-14,8697
Feb-14,8647
Jan-14,8273
Dec-13,8670
Nov-13,8923
Oct-13,8944
Sep-13,8946
Aug-13,9124
Jul-13,9146
Jun-13,9078
May-13,9033
Apr-13,8855
Mar-13,8641
Feb-13,8395
Jan-13,8331
Dec-12,8389
Nov-12,8483
Oct-12,8701
Sep-12,8561
Aug-12,9154
Jul-12,8810
Jun-12,8996
May-12,8979
Apr-12,8741
Mar-12,8582
Feb-12,8598
Jan-12,8190
Dec-11,8683
Nov-11,8537
Oct-11,8649
Sep-11,8744
Aug-11,8925
Jul-11,9031
Jun-11,9067
May-11,8817
Apr-11,8796
Mar-11,8799
Feb-11,8604
Jan-11,8370
Dec-10,8911
Nov-10,8816
Oct-10,9016
Sep-10,9112
Aug-10,9255
Jul-10,9301
Jun-10,9311
May-10,9162
Apr-10,9108
Mar-10,8793
Feb-10,8579
Jan-10,8520
Dec-09,8931
Nov-09,8906
Oct-09,8986
Sep-09,8911
Aug-09,9295
Jul-09,9260
Jun-09,9180
May-09,9084
Apr-09,9029
Mar-09,8903
Feb-09,8836
Jan-09,8623
Dec-08,8927
Nov-08,8904
Oct-08,9024
Sep-08,8497
Aug-08,9134
Jul-08,9150
Jun-08,9110
May-08,9251
Apr-08,9112
Mar-08,9066
Feb-08,8866
Jan-08,8810
Dec-07,9251
Nov-07,9229
Oct-07,9236
Sep-07,9254
Aug-07,9582
Jul-07,9640
Jun-07,9491
May-07,9434
Apr-07,9215
Mar-07,9178
Feb-07,9006
Jan-07,8886
Dec-06,9338
Nov-06,9244
Oct-06,9267
Sep-06,9236
Aug-06,9564
Jul-06,9607
Jun-06,9478
May-06,9308
Apr-06,9154
Mar-06,9054
Feb-06,8911
Jan-06,8839
Dec-05,9296
Nov-05,9115
Oct-05,9036
Sep-05,8915
Aug-05,9537
Jul-05,9534
Jun-05,9373
May-05,9278
Apr-05,9128
Mar-05,8994
Feb-05,8861
Jan-05,8813
Dec-04,9206
Nov-04,9055
Oct-04,9097
Sep-04,9015
Aug-04,9327
Jul-04,9357
Jun-04,9322
May-04,9179
Apr-04,9126
Mar-04,9024
Feb-04,8838
Jan-04,8705
Dec-03,9011
Nov-03,8946
Oct-03,9108
Sep-03,8926
Aug-03,9411
Jul-03,9192
Jun-03,9170
May-03,9042
Apr-03,8838
Mar-03,8602
Feb-03,8525
Jan-03,8414
Dec-02,8893
Nov-02,8829
Oct-02,8814
Sep-02,8687
Aug-02,9313
Jul-02,9143
Jun-02,9140
May-02,9078
Apr-02,8766
Mar-02,8655
Feb-02,8607
Jan-02,8227
Dec-01,8585
Nov-01,8677
Oct-01,8655
Sep-01,8557
Aug-01,8953
Jul-01,9023
Jun-01,8690
May-01,8706
Apr-01,8575
Mar-01,8532
Feb-01,8234
Jan-01,8099
Dec-00,8670
Nov-00,8384
Oct-00,8417
Sep-00,8518
Aug-00,8921
Jul-00,8642
Jun-00,8824
May-00,8661
Apr-00,8375
Mar-00,8305
Feb-00,8291
Jan-00,7653
Dec-99,8859
Nov-99,8240
Oct-99,8542
Sep-99,8305
Aug-99,8579
Jul-99,8942
Jun-99,8886
May-99,8420
Apr-99,8506
Mar-99,8128
Feb-99,8031
Jan-99,7701
Dec-98,8451
Nov-98,8167
Oct-98,8378
Sep-98,8310
Aug-98,8568
Jul-98,8680
Jun-98,8520
May-98,8279
Apr-98,8312
Mar-98,8004
Feb-98,7711
Jan-98,7618
Dec-97,8065
Nov-97,7965
Oct-97,8141
Sep-97,8023
Aug-97,8233
Jul-97,8496
Jun-97,8288
May-97,8139
Apr-97,8064
Mar-97,7796
Feb-97,7668
Jan-97,7301
Dec-96,7794
Nov-96,7915
Oct-96,8093
Sep-96,7662
Aug-96,8343
Jul-96,8165
Jun-96,8088
May-96,8071
Apr-96,7873
Mar-96,7792
Feb-96,7599
Jan-96,7271
Dec-95,7742
Nov-95,7866
Oct-95,7781
Sep-95,7786
Aug-95,8187
Jul-95,7888
Jun-95,8220
May-95,7894
Apr-95,7651
Mar-95,7788
Feb-95,7481
Jan-95,7163
Dec-94,7924
Nov-94,7464
Oct-94,7548
Sep-94,7615
Aug-94,7975
Jul-94,7884
Jun-94,7922
May-94,7644
Apr-94,7564
Mar-94,7395
Feb-94,7275
Jan-94,6980
Dec-93,7661
Nov-93,7533
Oct-93,7382
Sep-93,7607
Aug-93,7864
Jul-93,7785
Jun-93,7700
May-93,7585
Apr-93,7435
Mar-93,7389
Feb-93,7112
Jan-93,6639
Dec-92,7396
Nov-92,7102
Oct-92,7338
Sep-92,7344
Aug-92,7380
Jul-92,7639
Jun-92,7460
May-92,7328
Apr-92,7238
Mar-92,7137
Feb-92,6963
Jan-92,6869
Dec-91,7224
Nov-91,7008
Oct-91,7281
Sep-91,7083
Aug-91,7528
Jul-91,7561
Jun-91,7456
May-91,7437
Apr-91,7137
Mar-91,7017
Feb-91,6838
Jan-91,6645
Dec-90,6978
Nov-90,7241
Oct-90,7226
Sep-90,6914
Aug-90,7796
Jul-90,7496
Jun-90,7519
May-90,7358
Apr-90,7121
Mar-90,7338
Feb-90,7179
Jan-90,6643
Dec-89,7410
Nov-89,7353
Oct-89,7302
Sep-89,7240
Aug-89,7717
Jul-89,7296
Jun-89,7780
May-89,7381
Apr-89,7157
Mar-89,7421
Feb-89,7119
Jan-89,6745
Dec-88,7344
Nov-88,7379
Oct-88,7271
Sep-88,7404
Aug-88,7556
Jul-88,7482
Jun-88,7817
May-88,7303
Apr-88,7430
Mar-88,7323
Feb-88,7039
Jan-88,6693
Dec-87,7251
Nov-87,7151
Oct-87,7305
Sep-87,7205
Aug-87,7338
Jul-87,7581
Jun-87,7539
May-87,7460
Apr-87,7314
Mar-87,6964
Feb-87,6796
Jan-87,6535
Dec-86,7143
Nov-86,6879
Oct-86,7250
Sep-86,6864
Aug-86,7435
Jul-86,7436
Jun-86,7209
May-86,7106
Apr-86,7105
Mar-86,6955
Feb-86,6469
Jan-86,6502
Dec-85,6792
Nov-85,6770
Oct-85,6897
Sep-85,6629
Aug-85,7242
Jul-85,7008
Jun-85,6997
May-85,7060
Apr-85,6956
Mar-85,6664
Feb-85,6587
Jan-85,6348
Dec-84,6555
Nov-84,6800
Oct-84,6729
Sep-84,6588
Aug-84,7093
Jul-84,6830
Jun-84,7107
May-84,6890
Apr-84,6676
Mar-84,6528
Feb-84,6231
Jan-84,6265
Dec-83,6846
Nov-83,6603
Oct-83,6588
Sep-83,6727
Aug-83,6936
Jul-83,6765
Jun-83,6994
May-83,6617
Apr-83,6452
Mar-83,6836
Feb-83,6000
Jan-83,6051
Dec-82,6549
Nov-82,6574
Oct-82,6391
Sep-82,6531
Aug-82,6614
Jul-82,6790
Jun-82,6835
May-82,6655
Apr-82,6897
Mar-82,6466
Feb-82,6196
Jan-82,5961
Dec-81,6681
Nov-81,6373
Oct-81,6578
Sep-81,6662
Aug-81,6637
Jul-81,6823
Jun-81,7028
May-81,6615
Apr-81,6602
Mar-81,6303
Feb-81,6301
Jan-81,6431
Dec-80,6632
Nov-80,6234
Oct-80,6662
Sep-80,6510
Aug-80,6648
Jul-80,6743
Jun-80,6657
May-80,6729
Apr-80,6800
Mar-80,6406
Feb-80,6596
Jan-80,6323
Dec-79,6730
Nov-79,6791
Oct-79,7020
Sep-79,6881
Aug-79,7330
Jul-79,6902
Jun-79,7191
May-79,7213
Apr-79,7055
Mar-79,7229
Feb-79,7254
Jan-79,6830
Dec-78,7451
Nov-78,7503
Oct-78,7448
Sep-78,7399
Aug-78,7872
Jul-78,7576
Jun-78,7913
May-78,7724
Apr-78,7202
Mar-78,7255
Feb-78,6876
Jan-78,6681
Dec-77,7375
Nov-77,7191
Oct-77,7130
Sep-77,7316
Aug-77,7420
Jul-77,7439
Jun-77,7593
May-77,7029
Apr-77,7345
Mar-77,6908
Feb-77,6900
Jan-77,6472
Dec-76,7138
Nov-76,7038
Oct-76,6929
Sep-76,7079
Aug-76,7168
Jul-76,7315
Jun-76,7482
May-76,6853
Apr-76,7159
Mar-76,6890
Feb-76,6263
Jan-76,6398
Dec-75,6808
Nov-75,6390
Oct-75,6778
Sep-75,6729
Aug-75,7008
Jul-75,7041
Jun-75,7076
May-75,6871
Apr-75,6718
Mar-75,6326
Feb-75,6096
Jan-75,6206
Dec-74,6558
Nov-74,6547
Oct-74,6712
Sep-74,6388
Aug-74,7061
Jul-74,6959
Jun-74,6919
May-74,6745
Apr-74,6457
Mar-74,6162
Feb-74,6100
Jan-74,5804
Dec-73,6237
Nov-73,6823
Oct-73,6677
Sep-73,6581
Aug-73,7257
Jul-73,7023
Jun-73,6964
May-73,6907
Apr-73,6541
Mar-73,6513
Feb-73,6437
Jan-73,6118
Dec-72,6378
Nov-72,6479
Oct-72,6350
Sep-72,6453
Aug-72,6938
Jul-72,6673
Jun-72,6822
May-72,6445
Apr-72,6283
Mar-72,6412
Feb-72,5710
Jan-72,5548
Dec-71,6070
Nov-71,6114
Oct-71,6033
Sep-71,6068
Aug-71,6296
Jul-71,6432
Jun-71,6452
May-71,5902
Apr-71,6198
Mar-71,5839
Feb-71,5478
Jan-71,5264
Dec-70,5822
Nov-70,5570
Oct-70,5907
Sep-70,5934
Aug-70,6069
Jul-70,6247
Jun-70,6193
May-70,5862
Apr-70,5651
Mar-70,5538
Feb-70,5341
Jan-70,5245
Dec-69,5581
Nov-69,5391
Oct-69,5652
Sep-69,5636
Aug-69,5895
Jul-69,5995
Jun-69,5690
May-69,5652
